date,time,constant,position,expected,received
Oct-20-2024,11:43:12,Phi,112,3,7
Oct-20-2024,11:43:13,Phi,112,3,6
Oct-20-2024,11:43:19,Phi,115,8,3
Oct-20-2024,11:43:19,Phi,115,8,9
Oct-20-2024,11:43:19,Phi,115,8,1
Oct-20-2024,11:43:59,Phi,162,9,3
Oct-20-2024,11:44:07,Phi,172,5,8
Oct-20-2024,11:44:57,Phi,228,2,3
Oct-20-2024,11:46:03,Phi,282,4,3
Oct-20-2024,14:58:37,Phi,4,0,4
Oct-20-2024,14:58:38,Phi,4,0,1
Oct-20-2024,14:58:38,Phi,4,0,2
Oct-20-2024,14:58:38,Phi,4,0,3
Oct-20-2024,14:58:39,Phi,4,0,5
Oct-20-2024,14:58:39,Phi,4,0,6
Oct-20-2024,14:58:39,Phi,4,0,7
Oct-20-2024,14:58:40,Phi,4,0,8
Oct-20-2024,14:58:40,Phi,4,0,9
Oct-20-2024,14:58:41,Phi,4,0,9
Oct-20-2024,14:58:44,Phi,5,3,1
Oct-20-2024,14:58:45,Phi,5,3,2
Oct-20-2024,14:58:45,Phi,6,3,4
Oct-20-2024,14:58:53,Phi,10,7,8
Oct-20-2024,14:59:04,Phi,13,8,1
Oct-20-2024,14:59:05,Phi,13,8,2
Oct-20-2024,14:59:05,Phi,13,8,3
Oct-20-2024,14:59:05,Phi,13,8,4
Oct-20-2024,14:59:05,Phi,13,8,5
Oct-20-2024,14:59:06,Phi,13,8,6
Oct-20-2024,14:59:06,Phi,13,8,7
Oct-20-2024,14:59:09,Phi,15,4,0
Oct-20-2024,14:59:10,Phi,15,4,1
Oct-20-2024,14:59:10,Phi,15,4,2
Oct-20-2024,14:59:10,Phi,15,4,3
Oct-20-2024,14:59:11,Phi,16,8,5
Oct-20-2024,14:59:31,Phi,31,6,1
Oct-20-2024,14:59:32,Phi,31,6,2
Oct-20-2024,14:59:32,Phi,31,6,3
Oct-20-2024,14:59:32,Phi,31,6,4
Oct-20-2024,14:59:32,Phi,31,6,5
Oct-20-2024,14:59:33,Phi,32,3,7
Oct-20-2024,14:59:33,Phi,32,3,8
Oct-20-2024,14:59:34,Phi,32,3,9
Oct-20-2024,14:59:34,Phi,32,3,0
Oct-20-2024,14:59:35,Phi,32,3,1
Oct-20-2024,14:59:35,Phi,32,3,2
Oct-20-2024,14:59:35,Phi,33,8,4
Oct-20-2024,14:59:42,Phi,35,1,2
Oct-20-2024,14:59:46,Phi,36,7,2
Oct-20-2024,14:59:46,Phi,36,7,3
Oct-20-2024,14:59:49,Phi,36,7,1
Oct-20-2024,14:59:49,Phi,36,7,2
Oct-20-2024,14:59:49,Phi,36,7,3
Oct-20-2024,14:59:50,Phi,36,7,4
Oct-20-2024,14:59:50,Phi,36,7,5
Oct-20-2024,14:59:50,Phi,36,7,6
Oct-20-2024,14:59:51,Phi,37,7,8
Oct-20-2024,15:00:01,Phi,40,3,0
Oct-20-2024,15:00:01,Phi,40,3,1
Oct-20-2024,15:00:01,Phi,40,3,2
Oct-20-2024,15:00:02,Phi,41,0,4
Oct-20-2024,15:00:02,Phi,41,0,5
Oct-20-2024,15:00:05,Phi,41,0,1
Oct-20-2024,15:00:05,Phi,41,0,2
Oct-20-2024,15:00:06,Phi,41,0,3
Oct-20-2024,15:00:06,Phi,41,0,5
Oct-20-2024,15:00:07,Phi,42,9,6
Oct-20-2024,15:00:23,Phi,49,7,1
Oct-20-2024,15:00:24,Phi,49,7,0
Oct-20-2024,15:00:24,Phi,49,7,2
Oct-20-2024,15:00:24,Phi,49,7,9
Oct-20-2024,15:00:24,Phi,49,7,3
Oct-20-2024,15:00:24,Phi,49,7,8
Oct-20-2024,15:00:24,Phi,49,7,4
Oct-20-2024,15:00:25,Phi,50,6,5
Oct-20-2024,15:00:26,Phi,51,2,6
Oct-20-2024,15:00:26,Phi,51,2,6
Oct-20-2024,15:00:26,Phi,51,2,9
Oct-20-2024,15:00:27,Phi,51,2,1
Oct-20-2024,15:00:27,Phi,51,2,0
Oct-20-2024,15:00:27,Phi,52,8,9
Oct-20-2024,15:00:27,Phi,52,8,3
Oct-20-2024,15:00:32,Phi,52,8,0
Oct-20-2024,15:00:33,Phi,52,8,1
Oct-20-2024,15:00:33,Phi,52,8,2
Oct-20-2024,15:00:33,Phi,52,8,9
Oct-20-2024,15:00:33,Phi,52,8,3
Oct-20-2024,15:00:34,Phi,53,6,4
Oct-20-2024,15:00:34,Phi,53,6,7
Oct-20-2024,15:00:34,Phi,53,6,5
Oct-20-2024,15:00:35,Phi,55,1,8
Oct-20-2024,15:00:40,Phi,56,3,2
Oct-20-2024,15:00:40,Phi,56,3,6
Oct-20-2024,15:00:42,Phi,56,3,2
Oct-20-2024,15:00:47,Phi,56,3,2
Oct-20-2024,15:00:55,Phi,59,4,8
Oct-20-2024,15:00:55,Phi,59,4,8
Oct-20-2024,15:01:01,Phi,62,2,3
Oct-20-2024,15:01:01,Phi,62,2,3
Oct-20-2024,15:01:05,Phi,64,7,0
Oct-20-2024,15:01:06,Phi,64,7,1
Oct-20-2024,15:01:06,Phi,64,7,9
Oct-20-2024,15:01:06,Phi,64,7,2
Oct-20-2024,15:01:06,Phi,64,7,8
Oct-20-2024,15:01:06,Phi,64,7,3
Oct-20-2024,15:01:06,Phi,65,0,4
Oct-20-2024,15:01:07,Phi,65,0,6
Oct-20-2024,15:01:07,Phi,65,0,5
Oct-20-2024,15:01:07,Phi,65,0,6
Oct-20-2024,15:01:07,Phi,65,0,7
Oct-20-2024,15:01:08,Phi,65,0,4
Oct-20-2024,15:01:08,Phi,65,0,8
Oct-20-2024,15:01:08,Phi,65,0,3
Oct-20-2024,15:01:08,Phi,65,0,2
Oct-20-2024,15:01:08,Phi,65,0,2
Oct-20-2024,15:01:10,Phi,66,5,1
Oct-20-2024,15:01:11,Phi,66,5,0
Oct-20-2024,15:01:11,Phi,66,5,2
Oct-20-2024,15:01:11,Phi,66,5,9
Oct-20-2024,15:01:11,Phi,66,5,3
Oct-20-2024,15:01:11,Phi,66,5,8
Oct-20-2024,15:01:11,Phi,66,5,4
Oct-20-2024,15:01:11,Phi,66,5,7
Oct-20-2024,15:01:12,Phi,67,2,6
Oct-20-2024,15:01:23,Phi,74,1,8
Oct-20-2024,15:02:12,Phi,37,7,1
Oct-20-2024,15:02:12,Phi,37,7,1
Oct-20-2024,15:29:03,Phi,316,7,0
Oct-20-2024,15:29:03,Phi,316,7,1
Oct-20-2024,15:29:04,Phi,316,7,9
Oct-20-2024,15:29:04,Phi,316,7,2
Oct-20-2024,15:29:04,Phi,316,7,8
Oct-20-2024,15:29:05,Phi,317,7,4
Oct-20-2024,15:29:06,Phi,317,7,5
Oct-20-2024,15:29:06,Phi,317,7,6
Oct-20-2024,15:29:07,Phi,317,7,8
Oct-20-2024,15:29:07,Phi,317,7,2
Oct-20-2024,15:29:07,Phi,318,1,3
Oct-20-2024,15:29:07,Phi,318,1,9
Oct-20-2024,15:29:11,Phi,320,4,3
Oct-20-2024,15:29:23,Phi,326,4,1
Oct-20-2024,15:29:25,Phi,326,4,0
Oct-20-2024,15:29:26,Phi,326,4,2
Oct-20-2024,15:29:26,Phi,326,4,9
Oct-20-2024,15:29:26,Phi,326,4,3
Oct-20-2024,15:29:26,Phi,326,4,8
Oct-20-2024,15:29:26,Phi,327,9,7
Oct-20-2024,15:29:26,Phi,327,9,5
Oct-20-2024,15:30:18,Phi,361,4,0
Oct-20-2024,15:30:18,Phi,361,4,1
Oct-20-2024,15:30:18,Phi,361,4,9
Oct-20-2024,15:30:18,Phi,361,4,2
Oct-20-2024,15:30:18,Phi,361,4,8
Oct-20-2024,15:30:19,Phi,361,4,3
Oct-20-2024,15:30:19,Phi,361,4,7
Oct-20-2024,15:30:20,Phi,362,7,6
Oct-20-2024,15:30:20,Phi,362,7,5
Oct-20-2024,15:30:21,Phi,363,8,4
Oct-20-2024,15:30:21,Phi,364,0,3
Oct-20-2024,15:30:40,Phi,379,7,0
Oct-20-2024,15:30:40,Phi,379,7,1
Oct-20-2024,15:30:40,Phi,379,7,9
Oct-20-2024,15:30:41,Phi,379,7,2
Oct-20-2024,15:30:41,Phi,379,7,8
Oct-20-2024,15:30:41,Phi,379,7,3
Oct-20-2024,15:30:41,Phi,380,1,4
Oct-20-2024,15:30:42,Phi,380,1,5
Oct-20-2024,15:30:42,Phi,380,1,6
Oct-20-2024,15:30:43,Phi,380,1,7
Oct-20-2024,15:30:43,Phi,380,1,4
Oct-20-2024,15:30:43,Phi,380,1,8
Oct-20-2024,15:30:43,Phi,380,1,3
Oct-20-2024,15:30:43,Phi,380,1,9
Oct-20-2024,15:30:43,Phi,380,1,2
Oct-20-2024,15:30:44,Phi,380,1,0
Oct-20-2024,15:31:22,Phi,410,4,3
Oct-20-2024,15:31:22,Phi,410,4,9
Oct-20-2024,15:31:23,Phi,410,4,3
Oct-20-2024,15:31:43,Phi,415,5,0
Oct-20-2024,15:31:44,Phi,415,5,1
Oct-20-2024,15:31:44,Phi,415,5,9
Oct-20-2024,15:31:44,Phi,415,5,2
Oct-20-2024,15:31:44,Phi,415,5,8
Oct-20-2024,15:31:44,Phi,415,5,3
Oct-20-2024,15:31:44,Phi,415,5,7
Oct-20-2024,15:31:44,Phi,416,8,6
Oct-20-2024,15:31:47,Phi,416,8,0
Oct-20-2024,15:31:47,Phi,416,8,1
Oct-20-2024,15:31:47,Phi,416,8,9
Oct-20-2024,15:31:47,Phi,416,8,2
Oct-20-2024,15:32:03,Phi,425,0,1
Oct-20-2024,15:32:03,Phi,425,0,9
Oct-20-2024,15:32:15,Phi,427,2,0
Oct-20-2024,15:32:16,Phi,427,2,1
Oct-20-2024,15:32:16,Phi,427,2,9
Oct-20-2024,15:32:16,Phi,429,1,3
Oct-20-2024,15:32:34,Phi,445,7,0
Oct-20-2024,15:32:34,Phi,445,7,1
Oct-20-2024,15:32:34,Phi,445,7,9
Oct-20-2024,15:32:34,Phi,445,7,2
Oct-20-2024,15:32:34,Phi,445,7,8
Oct-20-2024,15:32:35,Phi,445,7,3
Oct-20-2024,15:32:35,Phi,446,7,4
Oct-20-2024,15:32:35,Phi,446,7,6
Oct-20-2024,15:32:39,Phi,446,7,0
Oct-20-2024,15:32:39,Phi,446,7,1
Oct-20-2024,15:32:39,Phi,446,7,2
Oct-20-2024,15:32:40,Phi,446,7,8
Oct-20-2024,15:32:40,Phi,446,7,3
Oct-20-2024,15:32:40,Phi,447,8,4
Oct-20-2024,15:32:43,Phi,447,8,7
Oct-20-2024,15:32:43,Phi,447,8,6
Oct-20-2024,15:32:43,Phi,447,8,5
Oct-20-2024,15:32:43,Phi,448,0,4
Oct-20-2024,15:32:48,Phi,450,3,4
Oct-20-2024,15:33:09,Phi,476,7,1
Oct-20-2024,15:33:09,Phi,476,7,9
Oct-20-2024,15:33:16,Phi,481,1,0
Oct-20-2024,15:33:16,Phi,482,7,9
Oct-20-2024,15:33:16,Phi,482,7,2
Oct-20-2024,15:33:16,Phi,482,7,8
Oct-20-2024,15:33:17,Phi,482,7,3
Oct-20-2024,15:33:17,Phi,482,7,8
Oct-20-2024,15:33:18,Phi,482,7,5
Oct-20-2024,15:33:18,Phi,483,6,5
Oct-20-2024,15:33:23,Phi,485,3,0
Oct-20-2024,15:33:23,Phi,485,3,1
Oct-20-2024,15:33:23,Phi,485,3,9
Oct-20-2024,15:33:23,Phi,485,3,2
Oct-20-2024,15:33:24,Phi,485,3,8
Oct-20-2024,15:33:24,Phi,486,5,7
Oct-20-2024,15:33:24,Phi,486,5,4
Oct-20-2024,15:33:31,Phi,487,6,8
Oct-20-2024,15:33:32,Phi,487,6,0
Oct-20-2024,15:33:32,Phi,487,6,1
Oct-20-2024,15:33:32,Phi,487,6,9
Oct-20-2024,15:33:33,Phi,487,6,2
Oct-20-2024,15:33:33,Phi,487,6,3
Oct-20-2024,15:33:33,Phi,487,6,7
Oct-20-2024,15:33:33,Phi,487,6,4
Oct-20-2024,15:33:33,Phi,488,0,5
Oct-20-2024,15:33:34,Phi,488,0,5
Oct-20-2024,15:33:35,Phi,489,0,1
Oct-20-2024,15:33:35,Phi,489,0,9
Oct-20-2024,15:34:12,Phi,499,1,0
Oct-20-2024,15:34:13,Phi,499,1,9
Oct-20-2024,15:34:13,Phi,499,1,8
Oct-20-2024,15:34:13,Phi,499,1,7
Oct-20-2024,15:34:13,Phi,499,1,6
Oct-20-2024,15:34:14,Phi,499,1,4
Oct-20-2024,15:34:14,Phi,499,1,5
Oct-20-2024,15:34:14,Phi,499,1,3
Oct-20-2024,15:34:15,Phi,500,0,7
Oct-20-2024,15:34:15,Phi,500,0,2
Oct-20-2024,15:34:15,Phi,500,0,6
Oct-20-2024,15:34:15,Phi,500,0,4
Oct-20-2024,15:34:16,Phi,500,0,8
Oct-20-2024,15:34:16,Phi,500,0,5
Oct-20-2024,15:34:36,Phi,519,4,3
Oct-20-2024,15:34:40,Phi,520,8,0
Oct-20-2024,15:34:40,Phi,520,8,1
Oct-20-2024,15:34:40,Phi,520,8,2
Oct-20-2024,15:34:40,Phi,521,4,3
Oct-20-2024,15:34:41,Phi,522,3,7
Oct-20-2024,15:34:41,Phi,522,3,5
Oct-20-2024,15:34:42,Phi,522,3,1
Oct-20-2024,15:34:42,Phi,523,5,0
Oct-20-2024,15:35:00,Phi,535,8,9
Oct-20-2024,15:35:01,Phi,535,8,7
Oct-20-2024,15:35:03,Phi,538,5,8
Oct-20-2024,15:35:17,Phi,547,7,0
Oct-20-2024,15:35:17,Phi,547,7,1
Oct-20-2024,15:35:17,Phi,547,7,9
Oct-20-2024,15:35:17,Phi,547,7,2
Oct-20-2024,15:35:17,Phi,547,7,8
Oct-20-2024,15:35:17,Phi,547,7,3
Oct-20-2024,15:35:17,Phi,547,7,8
Oct-20-2024,15:35:18,Phi,547,7,4
Oct-20-2024,15:35:18,Phi,548,8,5
Oct-20-2024,15:35:18,Phi,548,8,6
Oct-20-2024,15:35:20,Phi,549,3,8
Oct-20-2024,15:35:33,Phi,559,2,1
Oct-20-2024,15:35:33,Phi,559,2,8
Oct-20-2024,15:35:35,Phi,559,2,9
Oct-20-2024,15:35:35,Phi,559,2,1
Oct-20-2024,15:35:35,Phi,560,8,0
Oct-20-2024,15:35:35,Phi,560,8,3
Oct-20-2024,15:35:38,Phi,563,1,0
Oct-20-2024,15:35:43,Phi,568,2,5
Oct-20-2024,15:35:45,Phi,568,2,0
Oct-20-2024,15:35:45,Phi,568,2,1
Oct-20-2024,15:35:46,Phi,568,2,9
Oct-20-2024,15:35:46,Phi,569,5,8
Oct-20-2024,15:35:46,Phi,569,5,3
Oct-20-2024,15:35:47,Phi,569,5,9
Oct-20-2024,15:35:47,Phi,569,5,4
Oct-20-2024,15:35:47,Phi,569,5,7
Oct-20-2024,15:35:47,Phi,570,0,6
Oct-20-2024,15:35:56,Phi,574,2,9
Oct-20-2024,15:35:56,Phi,574,2,6
Oct-20-2024,15:35:58,Phi,575,6,1
Oct-20-2024,15:35:59,Phi,575,6,0
Oct-20-2024,15:36:34,Phi,589,6,0
Oct-20-2024,15:36:35,Phi,589,6,1
Oct-20-2024,15:36:35,Phi,589,6,2
Oct-20-2024,15:36:35,Phi,589,6,3
Oct-20-2024,15:36:35,Phi,589,6,4
Oct-20-2024,15:36:35,Phi,590,4,5
Oct-20-2024,15:36:36,Phi,590,4,7
Oct-20-2024,15:36:36,Phi,590,4,2
Oct-20-2024,15:36:36,Phi,590,4,3
Oct-20-2024,15:36:36,Phi,590,4,0
Oct-20-2024,15:36:37,Phi,590,4,8
Oct-20-2024,15:36:37,Phi,591,3,2
Oct-20-2024,15:36:37,Phi,591,3,9
Oct-20-2024,15:36:37,Phi,591,3,0
Oct-20-2024,15:36:38,Phi,591,3,0
Oct-20-2024,15:36:38,Phi,591,3,2
Oct-20-2024,15:36:39,Phi,591,3,9
Oct-20-2024,15:36:39,Phi,592,3,4
Oct-20-2024,15:36:39,Phi,592,3,8
Oct-20-2024,15:36:39,Phi,592,3,5
Oct-20-2024,15:36:39,Phi,592,3,7
Oct-20-2024,15:36:42,Phi,592,3,4
Oct-20-2024,15:36:42,Phi,592,3,8
Oct-20-2024,15:36:43,Phi,592,3,2
Oct-20-2024,15:36:44,Phi,592,3,8
Oct-20-2024,15:36:51,Phi,595,4,6
Oct-20-2024,15:36:55,Phi,596,3,4
Oct-20-2024,15:36:55,Phi,596,3,7
Oct-20-2024,15:36:56,Phi,596,3,7
Oct-20-2024,15:36:57,Phi,597,7,8
Oct-20-2024,15:36:57,Phi,597,7,2
Oct-20-2024,15:37:14,Phi,613,8,4
Oct-20-2024,15:37:14,Phi,613,8,0
Oct-20-2024,15:37:15,Phi,613,8,1
Oct-20-2024,15:37:15,Phi,613,8,9
Oct-20-2024,15:37:15,Phi,613,8,2
Oct-20-2024,15:37:16,Phi,614,3,4
Oct-20-2024,15:37:16,Phi,614,3,7
Oct-20-2024,15:37:16,Phi,614,3,5
Oct-20-2024,15:37:16,Phi,614,3,6
Oct-20-2024,15:37:16,Phi,614,3,8
Oct-20-2024,15:37:17,Phi,614,3,2
Oct-20-2024,15:37:17,Phi,614,3,9
Oct-20-2024,15:37:17,Phi,615,3,1
Oct-20-2024,15:37:18,Phi,615,3,8
Oct-20-2024,15:37:18,Phi,615,3,2
Oct-20-2024,15:37:18,Phi,615,3,7
Oct-20-2024,15:37:18,Phi,616,0,8
Oct-20-2024,15:37:24,Phi,617,3,0
Oct-20-2024,15:37:32,Phi,620,4,2
Oct-20-2024,15:38:02,Phi,314,2,1
Oct-20-2024,15:38:02,Phi,314,2,0
Oct-20-2024,15:40:44,Phi,427,2,0
Oct-20-2024,15:40:44,Phi,427,2,1
Oct-20-2024,15:40:44,Phi,427,2,9
Oct-20-2024,15:40:50,Phi,434,2,7
Oct-20-2024,15:41:11,Phi,454,1,7
Oct-20-2024,15:41:12,Phi,456,1,3
Oct-20-2024,15:41:15,Phi,458,1,0
Oct-20-2024,15:41:48,Phi,481,1,0
Oct-20-2024,15:41:48,Phi,482,7,9
Oct-20-2024,15:41:52,Phi,482,7,1
Oct-20-2024,15:41:52,Phi,482,7,0
Oct-20-2024,15:41:52,Phi,482,7,2
Oct-20-2024,15:41:52,Phi,482,7,9
Oct-20-2024,15:41:52,Phi,482,7,3
Oct-20-2024,15:41:53,Phi,482,7,8
Oct-20-2024,15:41:53,Phi,482,7,4
Oct-20-2024,15:42:16,Phi,510,8,1
Oct-20-2024,15:42:30,Phi,527,6,7
Oct-20-2024,15:43:44,Phi,572,3,1
Oct-20-2024,15:43:46,Phi,572,3,0
Oct-20-2024,15:43:47,Phi,572,3,9
Oct-20-2024,15:43:47,Phi,572,3,2
Oct-20-2024,15:43:47,Phi,572,3,8
Oct-20-2024,15:43:48,Phi,573,0,7
Oct-20-2024,15:44:03,Phi,579,5,4
Oct-20-2024,15:44:09,Phi,581,1,2
Oct-20-2024,15:44:09,Phi,581,1,7
Oct-20-2024,15:44:14,Phi,583,0,6
Oct-20-2024,15:44:14,Phi,583,0,4
Oct-20-2024,15:44:14,Phi,583,0,3
Oct-20-2024,15:44:33,Phi,598,7,6
Oct-20-2024,15:44:37,Phi,604,0,9
Oct-20-2024,15:44:44,Phi,611,2,6
Oct-20-2024,17:24:49,Phi,631,1,0
Oct-20-2024,17:24:49,Phi,631,1,9
Oct-20-2024,17:24:50,Phi,632,6,2
Oct-20-2024,17:24:50,Phi,632,6,7
Oct-20-2024,17:24:50,Phi,632,6,3
Oct-20-2024,17:24:50,Phi,632,6,4
Oct-20-2024,17:24:51,Phi,634,3,8
Oct-20-2024,17:25:01,Phi,637,2,0
Oct-20-2024,17:25:01,Phi,637,2,9
Oct-20-2024,17:25:01,Phi,638,4,8
Oct-20-2024,17:25:01,Phi,638,4,3
Oct-20-2024,17:25:02,Phi,638,4,7
Oct-20-2024,17:25:02,Phi,639,7,2
Oct-20-2024,17:25:02,Phi,639,7,4
Oct-20-2024,17:25:02,Phi,639,7,9
Oct-20-2024,17:25:03,Phi,639,7,0
Oct-20-2024,17:25:03,Phi,639,7,5
Oct-20-2024,17:25:03,Phi,639,7,8
Oct-20-2024,17:25:03,Phi,639,7,2
Oct-20-2024,17:25:04,Phi,641,1,9
Oct-20-2024,17:25:10,Phi,642,6,0
Oct-20-2024,17:25:12,Phi,642,6,0
Oct-20-2024,17:25:12,Phi,642,6,3
Oct-20-2024,17:25:12,Phi,642,6,9
Oct-20-2024,17:25:13,Phi,642,6,4
Oct-20-2024,17:25:13,Phi,642,6,7
Oct-20-2024,17:25:13,Phi,642,6,5
Oct-20-2024,17:25:23,Phi,645,1,0
Oct-20-2024,17:25:24,Phi,645,1,2
Oct-20-2024,17:25:24,Phi,645,1,9
Oct-20-2024,17:25:24,Phi,645,1,3
Oct-20-2024,17:25:24,Phi,645,1,8
Oct-20-2024,17:25:24,Phi,645,1,4
Oct-20-2024,17:25:25,Phi,645,1,7
Oct-20-2024,17:25:25,Phi,645,1,5
Oct-20-2024,17:25:25,Phi,645,1,6
Oct-20-2024,17:25:26,Phi,646,1,9
Oct-20-2024,17:25:30,Phi,647,2,1
Oct-20-2024,17:25:55,Phi,671,5,1
Oct-20-2024,17:25:56,Phi,671,5,9
Oct-20-2024,17:25:56,Phi,671,5,2
Oct-20-2024,17:25:56,Phi,671,5,8
Oct-20-2024,17:25:56,Phi,671,5,3
Oct-20-2024,17:25:56,Phi,671,5,7
Oct-20-2024,17:25:57,Phi,671,5,4
Oct-20-2024,17:25:57,Phi,671,5,6
Oct-20-2024,17:26:02,Phi,673,2,9
Oct-20-2024,17:26:04,Phi,673,2,1
Oct-20-2024,17:26:04,Phi,673,2,0
Oct-20-2024,17:26:04,Phi,674,2,9
Oct-20-2024,17:26:05,Phi,674,2,3
Oct-20-2024,17:26:05,Phi,674,2,8
Oct-20-2024,17:26:05,Phi,674,2,4
Oct-20-2024,17:26:05,Phi,674,2,7
Oct-20-2024,17:26:06,Phi,674,2,5
Oct-20-2024,17:26:06,Phi,674,2,6
Oct-20-2024,17:26:06,Phi,674,2,1
Oct-20-2024,17:26:06,Phi,674,2,0
Oct-20-2024,17:26:07,Phi,675,1,9
Oct-20-2024,17:26:13,Phi,676,6,1
Oct-20-2024,17:26:14,Phi,676,6,0
Oct-20-2024,17:26:14,Phi,676,6,2
Oct-20-2024,17:26:14,Phi,676,6,9
Oct-20-2024,17:26:14,Phi,676,6,3
Oct-20-2024,17:26:15,Phi,676,6,8
Oct-20-2024,17:26:15,Phi,676,6,4
Oct-20-2024,17:26:15,Phi,676,6,7
Oct-20-2024,17:26:15,Phi,676,6,5
Oct-20-2024,17:26:17,Phi,677,5,1
Oct-20-2024,17:26:18,Phi,677,5,2
Oct-20-2024,17:26:18,Phi,677,5,9
Oct-20-2024,17:26:18,Phi,677,5,3
Oct-20-2024,17:26:18,Phi,677,5,0
Oct-20-2024,17:26:18,Phi,677,5,4
Oct-20-2024,17:26:19,Phi,677,5,8
Oct-20-2024,17:26:22,Phi,680,1,2
Oct-20-2024,17:26:25,Phi,682,8,0
Oct-20-2024,17:26:25,Phi,682,8,1
Oct-20-2024,17:26:25,Phi,682,8,9
Oct-20-2024,17:26:25,Phi,682,8,2
Oct-20-2024,17:26:26,Phi,683,6,3
Oct-20-2024,17:26:26,Phi,683,6,7
Oct-20-2024,17:26:26,Phi,683,6,4
Oct-20-2024,17:26:29,Phi,683,6,8
Oct-20-2024,17:26:30,Phi,683,6,3
Oct-20-2024,17:26:30,Phi,683,6,2
Oct-20-2024,17:26:30,Phi,683,6,0
Oct-20-2024,17:26:30,Phi,683,6,1
Oct-20-2024,17:26:30,Phi,683,6,8
Oct-20-2024,17:26:31,Phi,683,6,4
Oct-20-2024,17:26:31,Phi,683,6,7
Oct-20-2024,17:26:33,Phi,684,6,2
Oct-20-2024,17:26:33,Phi,684,6,1
Oct-20-2024,17:26:33,Phi,684,6,0
Oct-20-2024,17:26:34,Phi,684,6,2
Oct-20-2024,17:26:34,Phi,684,6,9
Oct-20-2024,17:26:34,Phi,684,6,3
Oct-20-2024,17:26:34,Phi,684,6,8
Oct-20-2024,17:26:34,Phi,684,6,4
Oct-20-2024,17:26:35,Phi,684,6,7
Oct-20-2024,17:26:35,Phi,684,6,5
Oct-20-2024,17:26:42,Phi,685,7,5
Oct-20-2024,17:26:43,Phi,685,7,3
Oct-20-2024,17:26:43,Phi,685,7,4
Oct-20-2024,17:26:46,Phi,685,7,2
Oct-20-2024,17:26:50,Phi,685,7,0
Oct-20-2024,17:26:50,Phi,685,7,1
Oct-20-2024,17:26:51,Phi,685,7,2
Oct-20-2024,17:26:51,Phi,685,7,8
Oct-20-2024,17:26:51,Phi,685,7,3
